/WARNING 2020-06-28 15:48:30,615 - Coercing invalid notify() value to RuntimeError: 'eoorororo'
/INFO 2020-06-28 15:48:30,917 - eoorororo
/DEBUG 2020-06-28 15:48:30,921 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 15:48:32,284 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/WARNING 2020-06-28 15:51:52,440 - Coercing invalid notify() value to RuntimeError: 'eoorororo'
/INFO 2020-06-28 15:51:52,614 - eoorororo
/DEBUG 2020-06-28 15:51:52,618 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 15:51:53,399 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/WARNING 2020-06-28 15:54:44,364 - Coercing invalid notify() value to RuntimeError: 'hy'
/INFO 2020-06-28 15:54:44,509 - hy
/DEBUG 2020-06-28 15:54:44,512 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 15:54:45,113 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/WARNING 2020-06-28 15:58:06,256 - Coercing invalid notify() value to RuntimeError: <class 'TypeError'>
/INFO 2020-06-28 15:58:06,412 - <class 'TypeError'>
/DEBUG 2020-06-28 15:58:06,416 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 15:58:07,730 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/WARNING 2020-06-28 15:58:27,394 - Coercing invalid notify() value to RuntimeError: {'k': 7}
/INFO 2020-06-28 15:58:27,533 - {'k': 7}
/DEBUG 2020-06-28 15:58:27,537 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 15:58:28,049 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/DEBUG 2020-06-28 16:01:11,219 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 16:01:12,133 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/DEBUG 2020-06-28 16:23:05,896 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 16:23:06,502 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/DEBUG 2020-06-28 16:25:29,932 - Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
/DEBUG 2020-06-28 16:25:47,419 - Starting new HTTPS connection (1): www.googleapis.com:443
/DEBUG 2020-06-28 16:25:48,199 - https://www.googleapis.com:443 "POST /identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyBE60qpNe65viKstXjTmgq2fnpsHwCSOjU HTTP/1.1" 400 None
/DEBUG 2020-06-28 16:25:48,214 - Starting new HTTPS connection (1): notify.bugsnag.com:443
/DEBUG 2020-06-28 16:25:48,819 - https://notify.bugsnag.com:443 "POST / HTTP/1.1" 200 2
/DEBUG 2020-06-28 16:26:30,893 - Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
/DEBUG 2020-06-28 16:26:44,435 - Starting new HTTPS connection (1): www.googleapis.com:443
/DEBUG 2020-06-28 16:26:45,180 - https://www.googleapis.com:443 "POST /identitytoolkit/v3/relyingparty/signupNewUser?key=AIzaSyBE60qpNe65viKstXjTmgq2fnpsHwCSOjU HTTP/1.1" 200 None
